list,order,item,condition,Amb,Vis,Half,image 1,image 2,sentence,Chinese,Italian
2,62,,,,,,,,END OF EXPERIMENT. THANK YOU VERY MUCH.,实验结束。非常感谢！,FINE DELL'ESPERIMENTO. MOLTE GRAZIE
3,1,p1,,,,,p0101.jpg,p0102.jpg,The actor's slippers had been washed. ,演员的拖鞋被洗干净了。,Le pantofole dell'attore sono state lavate.
3,2,p2,,,,,p0301.jpg,p0302.jpg,A young girl liked the teddy very much when she was  shopping with her mother.,小女孩和妈妈去买东西的时候，对这个泰迪熊爱不释手。,L'orsacchiotto e' piaciuto molto alla bambina quando faceva la spesa con la sua mamma.
3,3,p3,,,,,p0401.jpg,p0402.jpg,The knight saw a bale of straw and a chicken  on his way to work.,骑士在去工作的路上，看见了一垛干草和一只鸡。,Il cavaliere ha visto una balla di fieno e un pollo mentre andava al lavoro.
3,4,p4,,,,,p0201.jpg,p0202.jpg,The teenager found a radio on his way home. ,少年在回家的路上发现了一台收音机。,L'adolescente ha trovato una radio mentre tornava a casa.
3,5,p5,,,,,p0501.jpg,p0502.jpg,The cleaner was watering the flower when the man  brought her shocking news.,男人来给她传达新闻的时候，清洁工正在浇花。,L'addetta alle pulizie stava innaffiando il fiore quando l'uomo le ha svelato la scioccante notizia.
3,6,x01,,,,1,x0301.jpg,x0302.jpg,"When he was alone, the ghost felt lonely. ",鬼魂独自呆着的时候，会感到孤独。,"Quando era solo, il fantasma si sentiva solo."
3,7,x02,,,,1,x0201.jpg,x0202.jpg,The Egyptian had lost her way when she met  a man with a compass.,埃及人迷路的时候，遇到了一个带着指南针的男人。,L'egiziana aveva smarrito la strada quando ha incontrato un uomo con la bussola.
3,8,1,2,1,2,1,1011.jpg,1012.jpg,The witch visited the garden with the girl. ,女巫和女孩去参观了花园。,La strega ha visitato il giardino con la bambina.
3,9,x03,,,,1,x3101.jpg,x3102.jpg,The neighbour's cats were vegetarians.,领居家的猫是吃素的。,I gatti del vicino erano vegetariani.
3,10,2,3,2,1,1,3021.jpg,3022.jpg,The Indian went to the forest with the countess.,印第安人和女爵士去了森林。,L'indiano e' andato nella foresta con la contessa.
3,11,x04,,,,1,x0701.jpg,x0702.jpg,Grandmother saw her rabbits were outside.,奶奶看见她的兔子正在外面。,La nonna ha notato che i suoi conigli erano fuori.
3,12,3,4,2,2,1,3031.jpg,3032.jpg,The countess came out of the house with the priest.,女爵士和牧师从房子里出来。,La contessa e' uscita da casa con il prete.
3,13,x05,,,,1,x0501.jpg,x0502.jpg,The knight asked the race car driver for his helmet.,骑士找赛车手要他的头盔。,Il cavaliere ha chiesto l'elmetto al pilota di auto da corsa. 
3,14,4,1,1,1,1,1041.jpg,1042.jpg,The king visited the castle with the pilot.,国王和飞行员去参观了城堡。,Il re ha visitato il castello con il pilota.
3,15,x06,,,,1,x2101.jpg,x2102.jpg,The fire-fighter was in a hurry when he saw the  red traffic light.,消防员正在赶时间，却撞上了红灯。,Il pompiere aveva fretta quando ha visto il semaforo rosso.
3,16,5,3,2,1,1,3051.jpg,3052.jpg,The captain was invited to the palace with  the policewoman.,队长和女警察被邀请去宫殿。,Il capitano e' stato invitato a palazzo con la poliziotta.
3,17,x07,,,,1,x0601.jpg,x0602.jpg,The waitress heard someone behind her.,服务员听见背后有人。,La cameriera ha sentito che c'era qualcuno dietro di lei.
3,18,6,1,1,1,1,1061.jpg,1062.jpg,The gardener went to the river with the groom.,园丁和新郎去了河边。,Il giardiniere e' andato al fiume con lo sposo.
3,19,x08,,,,1,x0801.jpg,x0802.jpg,The cleaner saw the carpet was relatively clean.,清洁工发现地毯还算干净。,L'addetto alle pulizie ha notato che il tappeto era relativamente pulito.
3,20,x09,,,,1,x1501.jpg,x1502.jpg,The new zookeeper was introduced to the seals. ,新来的动物管理员被介绍给了海豹们。,Il nuovo lavoratore dello zoo e' stato presentato alle foche.
3,21,7,4,2,2,1,3071.jpg,3072.jpg,The woman explored the cave with the king.,女人和国王去探索了洞穴。,La donna ha esplorato la caverna con il re.
3,22,x10,,,,1,x1901.jpg,x1902.jpg,The astronaut was visiting his colleague's home.,宇航员去拜访了同事家。,L'astronauta stava visitando il suo collega a casa sua.
3,23,8,2,1,2,1,1081.jpg,1082.jpg,The gladiator had a chat with the gentleman.,角斗士和绅士聊了会天。,Il gladiatore ha chiaccherato con il signore.
3,24,x11,,,,1,x2601.jpg,x2602.jpg,The footballer found the ball on his way home.,足球运动员在回家的路上发现了自己的球。,Il calciatore ha trovato la palla mentre tornava a casa sua. 
3,25,9,1,1,1,1,1091.jpg,1092.jpg,The queen enjoyed a discussion with the nanny.,王后和保姆进行了愉快的讨论。,La regina ha conversato con la bambinaia.
3,26,x12,,,,1,x0401.jpg,x0402.jpg,The thief had been trying to open the safe for hours.,小偷这几个小时一直在试图打开保险箱。,Il ladro aveva tentato per ore di aprire la cassaforte.
3,27,10,2,1,2,1,1101.jpg,1102.jpg,The boy went to the race track with the wizard.,男孩和巫师去了赛道。,Il bambino e' andato all'ippodromo (horse track) con il mago.
3,28,x13,,,,1,x1201.jpg,x1202.jpg,The plumber held a hula hoop in front of his daughter.,水管工在他女儿面前拿着个呼拉圈。,L'idraulico ha tenuto alzato l'hula hoop  davanti a sua figlia.
3,29,x14,,,,1,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.
3,30,11,3,2,1,1,3111.jpg,3112.jpg,The mermaid left hospital with the policeman.,美人鱼和男警察离开了医院。,La sirena e' uscita dall' ospedale con il poliziotto.
3,31,x15,,,,1,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.
3,32,12,4,2,2,1,3121.jpg,3122.jpg,The queen went for a walk with the prince.,王后和王子去散步。,La regina ha fatto una passeggiata con il principe.
3,33,,,,,,,,PLEASE TAKE A BREAK NOW,现在请稍事休息。,ADESSO FA' UNA PAUSA
3,34,x16,,,,2,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,冰球运动员本以为自己能击中球。,La pattinatrice pensava di riuscire a toccare la palla.
3,35,x17,,,,2,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.
3,36,13,3,2,1,2,3131.jpg,3132.jpg,The sheriff talked about politics with the bride.,警长和新娘谈了政治。,Lo sceriffo ha parlato di politica con la sposa.
3,37,x18,,,,2,x1701.jpg,x1702.jpg,The ice cream man saw a soldier in the park.,卖冰淇淋的人看见公园里有名士兵。,Il venditore di gelato ha visto un soldato nel parco.
3,38,x19,,,,2,x3001.jpg,x3002.jpg,The golfer enjoyed bird-watching before the game.,高尔夫球运动员喜欢在比赛前观鸟。,Il giocatore di golf amava osservare gli uccelli prima di giocare a golf. 
3,39,14,2,1,2,2,1141.jpg,1142.jpg,The kitchenmaid had put out a fire with the queen.,厨房女佣和王后一起解决了问题。,La cameriera aveva spento l'incendio con la regina.
3,40,x19,,,,2,x1801.jpg,x1802.jpg,The Mexican was happy with the number of eggs  he counted.,墨西哥人对蛋的数量很满意。,Il messicano era contento del numero di uova che aveva contato.
3,41,15,4,2,2,2,3151.jpg,3152.jpg,The pirate escaped from jail with the lady.,海盗和女士一起逃出了监狱。,Il pirata e' scappato da prigione con la signora.
3,42,x20,,,,2,x0901.jpg,x0902.jpg,Grandmother's cat was very hard to handle.,奶奶的猫非常难缠。,Il gatto della nonna e' molto difficile da trattare.
3,43,16,1,1,1,2,1161.jpg,1162.jpg,The gladiator went to the battleground with the admiral.,角斗士和将军去了战场。,Il gladiatore e' andato al campo di battaglia con l'ammiraglio.
3,44,x21,,,,2,x2001.jpg,x2002.jpg,The Egyptian had handed a hose to the roadworker.,埃及人将水管递给了修路工人。,L'egiziano aveva dato un tubo all'operaio.
3,45,x22,,,,2,x1101.jpg,x1102.jpg,The diver had just came out of the water after a long dive.,潜水员在水里潜了很久，刚刚才浮出水面。,Il sommozzatore era appena uscito dall'acqua dopo una lunga immersione.
3,46,17,3,2,1,2,3171.jpg,3172.jpg,The lady discussed the weather with the pirate.,女士和海盗聊了天气。,La signora ha discusso del tempo con il pirata.
3,47,x30,,,,2,x2801.jpg,x2802.jpg,The patient was recommended by the doctor to do some reading.,患者被医生推荐去读点东西。,Al paziente e' stato raccomandato dal dottore di leggere un po'.
3,48,18,4,2,2,2,3181.jpg,3182.jpg,The admiral was having a laugh with the princess.,将军和公主嬉闹了一会儿。,L'ammiraglio stava scherzando con la principessa.
3,49,x24,,,,2,x2301.jpg,x2302.jpg,The baby had just been hit by his own pram.,婴儿刚刚被自己的婴儿车给撞到了。,Il bebe' era appena stato colpito dalla sua stessa carrozzina.
3,50,19,1,1,1,2,1191.jpg,1192.jpg,The Viking went to the lake with the cowboy.,维京人和牛仔去了湖边。,Il vichingo e' andato al lago con il cowboy.
3,51,x25,,,,2,x2401.jpg,x2402.jpg,The plumber gave the flower to the female doctor.,水管工将鲜花送给了女医生。,L'idraulico ha dato il fiore alla dottoressa.
3,52,20,2,1,2,2,1201.jpg,1202.jpg,The girl was having fun with the witch.,女孩和女巫玩得很开心。,La ragazza si stava divertendo con la strega.
3,53,x26,,,,2,x2501.jpg,x2502.jpg,The young man saw his neighbour's bin in the street.,年轻人在街上看见了领居家的垃圾桶。,Il giovanotto ha visto il bidone del suo vicino nella strada.
3,54,21,4,2,2,2,3211.jpg,3212.jpg,The prince went to the beach with the nun.,王子和修女去了海边。,Il principe e' andato in spiaggia con la suora.
3,55,x27,,,,2,x2901.jpg,x2902.jpg,The man had stolen money from the bank robber.,男人从银行劫匪那里偷走了钱。,L'uomo aveva rubato dei soldi al rapinatore.
3,56,x28,,,,2,x1001.jpg,x1002.jpg,The paramedic was looking forward to meeting the magician.,医务人员很期待能见到魔术师。,Il paramedico non vedeva l'ora di incontrare il prestigiatore.
3,57,22,1,1,1,2,1221.jpg,1222.jpg,The woman was having a break with the mermaid.,女人和美人鱼休息了一会儿。,La donna stava facendo una pausa con la sirena.
3,58,x29,,,,2,x2701.jpg,x2702.jpg,The nurse saw that her chair was occupied by  a colleague.,护士发现一名同事正坐在她的椅子上。,L'infermiera ha notato che la sua sedia era occupata da un collega.
3,59,23,3,2,1,2,3231.jpg,3232.jpg,The farmer went to the village with the stewardess.,农民和乘务员去了村庄。,Il contadino e' andato in paese con la hostess.
3,60,x23,,,,2,x2201.jpg,x2202.jpg,The Roman soldier felt very tired after the battle.,罗马士兵结束了战斗，感到非常疲倦。,Il soldato romano era molto stanco dopo la battaglia.
3,61,24,2,1,2,2,1241.jpg,1242.jpg,The countess toured the country with the girl.,女爵士和女孩环游了全国。,La contessa ha fatto un viaggio con la ragazza.
3,62,,,,,,,,PLEASE TAKE A BREAK NOW,现在请稍事休息。,ADESSO FA' UNA PAUSA
4,1,p1,,,,,p0101.jpg,p0102.jpg,The actor's slippers had been washed. ,演员的拖鞋被洗干净了。,Le pantofole dell'attore sono state lavate.
4,2,p2,,,,,p0301.jpg,p0302.jpg,A young girl liked the teddy very much when she was  shopping with her mother.,小女孩和妈妈去买东西的时候，对这个泰迪熊爱不释手。,L'orsacchiotto e' piaciuto molto alla bambina quando faceva la spesa con la sua mamma.
4,3,p3,,,,,p0401.jpg,p0402.jpg,The knight saw a bale of straw and a chicken  on his way to work.,骑士在去工作的路上，看见了一垛干草和一只鸡。,Il cavaliere ha visto una balla di fieno e un pollo mentre andava al lavoro.
4,4,p4,,,,,p0201.jpg,p0202.jpg,The teenager found a radio on his way home. ,少年在回家的路上发现了一台收音机。,L'adolescente ha trovato una radio mentre tornava a casa.
4,5,p5,,,,,p0501.jpg,p0502.jpg,The cleaner was watering the flower when the man  brought her shocking news.,男人来给她传达新闻的时候，清洁工正在浇花。,L'addetta alle pulizie stava innaffiando il fiore quando l'uomo le ha svelato la scioccante notizia.
4,6,x01,,,,1,x0301.jpg,x0302.jpg,"When he was alone, the ghost felt lonely. ",鬼魂独自呆着的时候，会感到孤独。,"Quando era solo, il fantasma si sentiva solo."
4,7,x02,,,,1,x0201.jpg,x0202.jpg,The Egyptian had lost her way when she met  a man with a compass.,埃及人迷路的时候，遇到了一个带着指南针的男人。,L'egiziana aveva smarrito la strada quando ha incontrato un uomo con la bussola.
4,8,1,3,2,1,1,3011.jpg,3012.jpg,The witch visited the garden with the boy.,女巫和男孩去参观了花园。,La strega ha visitato il giardino con il bambino.
4,9,x03,,,,1,x3101.jpg,x3102.jpg,The neighbour's cats were vegetarians.,领居家的猫是吃素的。,I gatti del vicino erano vegetariani.
4,10,2,4,2,2,1,3021.jpg,3022.jpg,The Indian went to the forest with the countess.,印第安人和女爵士去了森林。,L'indiano e' andato nella foresta con la contessa.
4,11,x04,,,,1,x0701.jpg,x0702.jpg,Grandmother saw her rabbits were outside.,奶奶看见她的兔子正在外面。,La nonna ha notato che i suoi conigli erano fuori.
4,12,3,1,1,1,1,1031.jpg,1032.jpg,The countess came out of the house with the nun.,女爵士和修女从房子里出来。,La contessa e' uscita da casa con la suora.
4,13,x05,,,,1,x0501.jpg,x0502.jpg,The knight asked the race car driver for his helmet.,骑士找赛车手要他的头盔。,Il cavaliere ha chiesto l'elmetto al pilota di auto da corsa. 
4,14,4,2,1,2,1,1041.jpg,1042.jpg,The king visited the castle with the pilot.,国王和飞行员去参观了城堡。,Il re ha visitato il castello con il pilota.
4,15,x06,,,,1,x2101.jpg,x2102.jpg,The fire-fighter was in a hurry when he saw the  red traffic light.,消防员正在赶时间，却撞上了红灯。,Il pompiere aveva fretta quando ha visto il semaforo rosso.
4,16,5,4,2,2,1,3051.jpg,3052.jpg,The captain was invited to the palace with  the policewoman.,队长和女警察被邀请去宫殿。,Il capitano e' stato invitato a palazzo con la poliziotta.
4,17,x07,,,,1,x0601.jpg,x0602.jpg,The waitress heard someone behind her.,服务员听见背后有人。,La cameriera ha sentito che c'era qualcuno dietro di lei.
4,18,6,2,1,2,1,1061.jpg,1062.jpg,The gardener went to the river with the groom.,园丁和新郎去了河边。,Il giardiniere e' andato al fiume con lo sposo.
4,19,x08,,,,1,x0801.jpg,x0802.jpg,The cleaner saw the carpet was relatively clean.,清洁工发现地毯还算干净。,L'addetto alle pulizie ha notato che il tappeto era relativamente pulito.
4,20,x09,,,,1,x1501.jpg,x1502.jpg,The new zookeeper was introduced to the seals. ,新来的动物管理员被介绍给了海豹们。,Il nuovo lavoratore dello zoo e' stato presentato alle foche.
4,21,7,1,1,1,1,1071.jpg,1072.jpg,The woman explored the cave with the queen.,女人和王后去探索了洞穴。,La donna ha esplorato la caverna con la regina.
4,22,x10,,,,1,x1901.jpg,x1902.jpg,The astronaut was visiting his colleague's home.,宇航员去拜访了同事家。,L'astronauta stava visitando il suo collega a casa sua.
4,23,8,3,2,1,1,3081.jpg,3082.jpg,The gladiator had a chat with the lady.,角斗士和女士聊了会天。,Il gladiatore ha chiaccherato con la signora.
4,24,x11,,,,1,x2601.jpg,x2602.jpg,The footballer found the ball on his way home.,足球运动员在回家的路上发现了自己的球。,Il calciatore ha trovato la palla mentre tornava a casa sua. 
4,25,9,2,1,2,1,1091.jpg,1092.jpg,The queen enjoyed a discussion with the nanny.,王后和保姆进行了愉快的讨论。,La regina ha conversato con la bambinaia.
4,26,x12,,,,1,x0401.jpg,x0402.jpg,The thief had been trying to open the safe for hours.,小偷这几个小时一直在试图打开保险箱。,Il ladro aveva tentato per ore di aprire la cassaforte.
4,27,10,3,2,1,1,3101.jpg,3102.jpg,The boy went to the race track with the witch.,男孩和女巫去了赛道。,Il bambino e' andato all'ippodromo (horse track) con la strega/
4,28,x13,,,,1,x1201.jpg,x1202.jpg,The plumber held a hula hoop in front of his daughter.,水管工在他女儿面前拿着个呼拉圈。,L'idraulico ha tenuto alzato l'hula hoop  davanti a sua figlia.
4,29,x14,,,,1,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.
4,30,11,4,2,2,1,3111.jpg,3112.jpg,The mermaid left hospital with the policeman.,美人鱼和男警察离开了医院。,La sirena e' uscita dall' ospedale con il poliziotto.
4,31,x15,,,,1,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.
4,32,12,1,1,1,1,1121.jpg,1122.jpg,The queen went for a walk with the princess.,王后和公主去散步。,La regina ha fatto una passeggiata con la principessa.
4,33,,,,,,,,END OF EXPERIMENT. THANK YOU VERY MUCH.,实验结束。非常感谢！,FINE DELL'ESPERIMENTO. MOLTE GRAZIE
4,34,x16,,,,2,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,冰球运动员本以为自己能击中球。,La pattinatrice pensava di riuscire a toccare la palla.
4,35,x17,,,,2,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.
4,36,13,4,2,2,2,3131.jpg,3132.jpg,The sheriff talked about politics with the bride.,警长和新娘谈了政治。,Lo sceriffo ha parlato di politica con la sposa.
4,37,x18,,,,2,x1701.jpg,x1702.jpg,The ice cream man saw a soldier in the park.,卖冰淇淋的人看见公园里有名士兵。,Il venditore di gelato ha visto un soldato nel parco.
4,38,x19,,,,2,x3001.jpg,x3002.jpg,The golfer enjoyed bird-watching before the game.,高尔夫球运动员喜欢在比赛前观鸟。,Il giocatore di golf amava osservare gli uccelli prima di giocare a golf. 
4,39,14,3,2,1,2,3141.jpg,3142.jpg,The kitchenmaid had put out a fire with the king.,厨房女佣和国王一起解决了问题。,La cameriera aveva spento l'incendio con il re.
4,40,x19,,,,2,x1801.jpg,x1802.jpg,The Mexican was happy with the number of eggs  he counted.,墨西哥人对蛋的数量很满意。,Il messicano era contento del numero di uova che aveva contato.
4,41,15,1,1,1,2,1151.jpg,1152.jpg,The pirate escaped from jail with the gentleman.,海盗和绅士一起逃出了监狱。,Il pirata e' scappato da prigione con il signore.
4,42,x20,,,,2,x0901.jpg,x0902.jpg,Grandmother's cat was very hard to handle.,奶奶的猫非常难缠。,Il gatto della nonna e' molto difficile da trattare.
4,43,16,2,1,2,2,1161.jpg,1162.jpg,The gladiator went to the battleground with the admiral.,角斗士和将军去了战场。,Il gladiatore e' andato al campo di battaglia con l'ammiraglio.
4,44,x21,,,,2,x2001.jpg,x2002.jpg,The Egyptian had handed a hose to the roadworker.,埃及人将水管递给了修路工人。,L'egiziano aveva dato un tubo all'operaio.
4,45,x22,,,,2,x1101.jpg,x1102.jpg,The diver had just came out of the water after a long dive.,潜水员在水里潜了很久，刚刚才浮出水面。,Il sommozzatore era appena uscito dall'acqua dopo una lunga immersione.
4,46,17,4,2,2,2,3171.jpg,3172.jpg,The lady discussed the weather with the pirate.,女士和海盗聊了天气。,La signora ha discusso del tempo con il pirata.
4,47,x30,,,,2,x2801.jpg,x2802.jpg,The patient was recommended by the doctor to do some reading.,患者被医生推荐去读点东西。,Al paziente e' stato raccomandato dal dottore di leggere un po'.
4,48,18,1,1,1,2,1181.jpg,1182.jpg,The admiral was having a laugh with the prince.,将军和王子嬉闹了一会儿。,L'ammiraglio stava scherzando con il principe.
4,49,x24,,,,2,x2301.jpg,x2302.jpg,The baby had just been hit by his own pram.,婴儿刚刚被自己的婴儿车给撞到了。,Il bebe' era appena stato colpito dalla sua stessa carrozzina.
4,50,19,2,1,2,2,1191.jpg,1192.jpg,The Viking went to the lake with the cowboy.,维京人和牛仔去了湖边。,Il vichingo e' andato al lago con il cowboy.
4,51,x25,,,,2,x2401.jpg,x2402.jpg,The plumber gave the flower to the female doctor.,水管工将鲜花送给了女医生。,L'idraulico ha dato il fiore alla dottoressa.
4,52,20,3,2,1,2,3201.jpg,3202.jpg,The girl was having fun with the wizard.,女孩和巫师玩得很开心。,La ragazza si stava divertendo con il mago.
4,53,x26,,,,2,x2501.jpg,x2502.jpg,The young man saw his neighbour's bin in the street.,年轻人在街上看见了领居家的垃圾桶。,Il giovanotto ha visto il bidone del suo vicino nella strada.
4,54,21,1,1,1,2,1211.jpg,1212.jpg,The prince went to the beach with the priest.,王子和牧师去了海边。,Il principe e' andato in spiaggia con il prete.
4,55,x27,,,,2,x2901.jpg,x2902.jpg,The man had stolen money from the bank robber.,男人从银行劫匪那里偷走了钱。,L'uomo aveva rubato dei soldi al rapinatore.
4,56,x28,,,,2,x1001.jpg,x1002.jpg,The paramedic was looking forward to meeting the magician.,医务人员很期待能见到魔术师。,Il paramedico non vedeva l'ora di incontrare il prestigiatore.
4,57,22,2,1,2,2,1221.jpg,1222.jpg,The woman was having a break with the mermaid.,女人和美人鱼休息了一会儿。,La donna stava facendo una pausa con la sirena.
4,58,x29,,,,2,x2701.jpg,x2702.jpg,The nurse saw that her chair was occupied by  a colleague.,护士发现一名同事正坐在她的椅子上。,L'infermiera ha notato che la sua sedia era occupata da un collega.
4,59,23,4,2,2,2,3231.jpg,3232.jpg,The farmer went to the village with the stewardess.,农民和乘务员去了村庄。,Il contadino e' andato in paese con la hostess.
4,60,x23,,,,2,x2201.jpg,x2202.jpg,The Roman soldier felt very tired after the battle.,罗马士兵结束了战斗，感到非常疲倦。,Il soldato romano era molto stanco dopo la battaglia.
4,61,24,3,2,1,2,3241.jpg,3242.jpg,The countess toured the country with the boy.,女爵士和男孩环游了全国。,La contessa ha fatto un viaggio con il ragazzo.
4,62,,,,,,,,END OF EXPERIMENT. THANK YOU VERY MUCH.,实验结束。非常感谢！,FINE DELL'ESPERIMENTO. MOLTE GRAZIE
